brand,user_id,url
zara,r6ivwuv0ebk346hhxo446pbfv,https://open.spotify.com/user/r6ivwuv0ebk346hhxo446pbfv
primark,1u0ewgq4b77l1ttu6j4oyaylw,https://open.spotify.com/user/1u0ewgq4b77l1ttu6j4oyaylw
nike,nikerunclub,https://open.spotify.com/user/nikerunclub
adidas,430wexvtgeypb6zdn45ge9c76,https://open.spotify.com/user/430wexvtgeypb6zdn45ge9c76
h & m,hm,https://open.spotify.com/user/hm
pull & bear,pull_and_bear,https://open.spotify.com/user/pull_and_bear
bershka,bershka,https://open.spotify.com/user/bershka
stradivarius,stradivas,https://open.spotify.com/user/stradivas
mango,mango_official,https://open.spotify.com/user/mango_official
desigual,1119086036,https://open.spotify.com/user/1119086036
